NOP_method,NOLV_method,AMW_type,LOCNAMM_type,LOC_type,CFNAMM_type,AMWNAMM_type,LCOM5_type,NOAV_method,TCC_type,NIM_type,LOC_package,NOM_package,NOMNAMM_package,RFC_type,LOC_method,WMC_type,WMCNAMM_type,NOCS_package,ATLD_method,CDISP_method,NOM_type,is_long_parameters_list
0.0,0.0,0.07880434780763779,0.04230488694383661,0.0405355150613611,0.0031419284940411704,0.17682926825494494,0.4805555555,0.10294117647058824,0.177777778,0.0,0.0,0.002313284864507601,0.0,0.04824561403508772,0.02766798418972332,0.041116005873715125,0.033395176252319116,0.021978021978021976,0.2222222222222222,0.0,0.06787330316742082,0
0.0,0.0,0.0,0.00437636761487965,0.0024172554853105245,0.0,0.08841463412747247,0.25,0.029411764705882356,1.0,0.0017331022530329286,0.08849400660270756,0.07633840052875082,0.08894117647058823,0.0029239766081871343,0.007905138339920948,0.0029368575624082226,0.005565862708719851,0.19780219780219785,0.1111111111111111,0.0,0.009049773755656108,0
0.0625,0.027777777777777776,0.1182804469789979,0.40627279358132745,0.36333209371513575,0.400874477635041,0.22009600409327215,0.4960534305,0.029411764705882356,0.012612613,0.13518197573656845,0.08849400660270756,0.07633840052875082,0.08894117647058823,0.8333333333333333,0.003952569169960474,0.3994126284875183,0.4341372912801485,0.19780219780219785,0.05555555555555555,1.0,0.5520361990950227,0
0.0,0.0,0.0,0.05057135910527595,0.052993677947192265,0.0,0.08841463412747247,0.5054945055,0.014705882352941175,0.0,0.0,0.128686327077748,0.2376074025115664,0.2418823529411765,0.13304093567251465,0.0,0.13362701908957414,0.13172541743970315,0.17582417582417584,0.05555555555555555,0.0,0.411764705882353,0
0.0625,0.027777777777777776,0.0,0.003403841478239728,0.0016734845667534398,0.0,0.08841463412747247,0.0,0.044117647058823525,0.0,0.0017331022530329286,0.128686327077748,0.2376074025115664,0.2418823529411765,0.0043859649122807015,0.007905138339920948,0.0029368575624082226,0.005565862708719851,0.17582417582417584,0.05555555555555555,1.0,0.009049773755656108,0
0.0625,0.027777777777777776,0.0,0.010211524434719184,0.0068798809966530315,0.0,0.08841463412747247,0.0,0.014705882352941175,0.0,0.0,0.128686327077748,0.2376074025115664,0.2418823529411765,0.024853801169590642,0.0,0.02496328928046989,0.033395176252319116,0.17582417582417584,0.05555555555555555,0.0,0.07692307692307693,0
0.0,0.0,0.15760869561527555,0.03257962557743739,0.02398661212346597,0.002987153691379044,0.2320884145846153,0.392857143,0.014705882352941175,0.476190476,0.027729636048526858,0.10639664990140253,0.1407799074686054,0.17458823529411766,0.06432748538011697,0.007905138339920948,0.029368575624082224,0.03896103896103896,0.3956043956043957,0.05555555555555555,0.0,0.03167420814479638,0
0.0625,0.027777777777777776,0.0,0.008023340627279356,0.00520639642989959,0.0001238198421297013,0.08841463412747247,0.5,0.014705882352941175,0.0,0.0017331022530329286,0.10639664990140253,0.1407799074686054,0.17458823529411766,0.007309941520467836,0.007905138339920948,0.004405286343612334,0.007421150278293135,0.3956043956043957,0.05555555555555555,0.0,0.013574660633484163,0
0.125,0.1111111111111111,0.06465997772064816,0.008509603695599319,0.005578281889178133,0.00015477480266212662,0.147357723575259,0.5833333335,0.1176470588235294,1.0,0.0017331022530329286,0.10639664990140253,0.1407799074686054,0.17458823529411766,0.005847953216374269,0.04743083003952569,0.005873715124816446,0.00927643784786642,0.3956043956043957,0.2222222222222222,0.5,0.009049773755656108,0
0.125,0.05555555555555555,0.0,0.0,0.0007437709185570845,0.0,0.08841463412747247,0.0,0.014705882352941175,0.0,0.0,0.02459397779894977,0.041969596827495036,0.04658823529411765,0.005847953216374269,0.0,0.005873715124816446,0.0037105751391465678,0.08791208791208792,0.05555555555555555,0.0,0.01809954751131222,0
0.0,0.0,0.2396222702281821,0.05397520058351568,0.043138713276310886,0.0026776040860547906,0.3300813007130924,0.4583333335,0.029411764705882356,0.090909091,0.0017331022530329286,0.13446923537101454,0.1325181758096497,0.14729411764705885,0.04532163742690058,0.007905138339920948,0.08516886930983847,0.1038961038961039,0.3131868131868132,0.1111111111111111,1.0,0.07239819004524888,0
0.0,0.0,0.2396222702281821,0.05397520058351568,0.043138713276310886,0.0026776040860547906,0.3300813007130924,0.4583333335,0.029411764705882356,0.090909091,0.0017331022530329286,0.13446923537101454,0.1325181758096497,0.14729411764705885,0.04532163742690058,0.003952569169960474,0.08516886930983847,0.1038961038961039,0.3131868131868132,0.05555555555555555,1.0,0.07239819004524888,0
0.0625,0.027777777777777776,0.12123745816559657,0.03160709944079747,0.023242841204908892,0.0009054325955734408,0.1989329267868131,0.0,0.029411764705882356,0.0,0.1143847487001733,0.0037001750382203696,0.007600793126239259,0.008941176470588234,0.0935672514619883,0.007905138339920948,0.02496328928046989,0.033395176252319116,0.03296703296703297,0.05555555555555555,0.0,0.03167420814479638,0
0.0,0.0,0.0,0.004862630683199611,0.003718854592785422,0.0,0.08841463412747247,0.0,0.014705882352941175,0.0,0.0017331022530329286,0.024682604745973016,0.03932584269662921,0.03152941176470588,0.005847953216374269,0.007905138339920948,0.005873715124816446,0.007421150278293135,0.15384615384615388,0.05555555555555555,0.0,0.01809954751131222,0
0.0,0.05555555555555555,0.15087328131584904,0.14952589350838802,0.11621420602454445,0.004798018882525925,0.26524390238241746,0.5221774195000001,0.08823529411764706,0.0,0.9341421143847486,0.02226752043958966,0.020819563780568408,0.024,0.07309941520467836,0.015810276679841896,0.032305433186490456,0.03896103896103896,0.1153846153846154,0.1111111111111111,1.0,0.03619909502262444,0
0.1875,0.08333333333333333,0.012123745816559658,0.011184050571359105,0.0076236519152101155,0.0007274415725119951,0.09946646339340656,0.4285714285,0.07352941176470587,0.133333333,0.1733102253032929,0.01533246183502094,0.02742894910773298,0.03152941176470588,0.2850877192982456,0.011857707509881422,0.011747430249632892,0.016697588126159554,0.07692307692307693,0.1111111111111111,0.0,0.03167420814479638,0
0.25,0.4444444444444444,0.1454849497987159,0.0974957451981522,0.07363332093715136,0.016173966878192232,0.2210365853186812,0.4516806725,0.3676470588235294,0.857142857,0.0017331022530329286,0.04726031950014402,0.041969596827495036,0.057882352941176475,0.11695906432748535,0.19762845849802368,0.06461086637298091,0.08348794063079777,0.3021978021978022,0.33333333333333337,0.7857142859999999,0.07692307692307693,0
0.1875,0.08333333333333333,0.01616499445440954,0.010697787503039144,0.0072517664559315735,0.00044110818758706085,0.10315040651152277,0.0,0.08823529411764706,0.0,0.010398613518197573,0.04726031950014402,0.041969596827495036,0.057882352941176475,0.033625730994152045,0.011857707509881422,0.00881057268722467,0.012987012987012988,0.3021978021978022,0.05555555555555555,1.0,0.022624434389140267,0
0.1875,0.08333333333333333,0.03232998881182908,0.01799173352783856,0.012830048345109705,0.0009750812567713977,0.11788617880715843,0.5,0.05882352941176471,0.0,0.1733102253032929,0.08849400660270756,0.07633840052875082,0.08894117647058823,0.2880116959064328,0.011857707509881422,0.016152716593245225,0.02226345083487941,0.19780219780219785,0.05555555555555555,0.0,0.03619909502262444,0
0.25,0.1388888888888889,0.2521739129844409,0.016532944322878676,0.01171439196727408,0.00047206314811948624,0.3182926828589009,0.0,0.08823529411764706,0.0,0.07452339688041594,0.08849400660270756,0.07633840052875082,0.08894117647058823,0.08625730994152046,0.08695652173913042,0.02496328928046989,0.033395176252319116,0.19780219780219785,0.05555555555555555,1.0,0.01809954751131222,0
0.1875,0.08333333333333333,0.1002229653845632,0.07585703865791392,0.0695425808850874,0.009394830521591084,0.20496119727942905,0.4719827585,0.1323529411764706,0.05714285700000001,0.19410745233968804,0.08849400660270756,0.07633840052875082,0.08894117647058823,0.3026315789473684,0.043478260869565216,0.08810572687224669,0.09461966604823747,0.19780219780219785,0.16666666666666666,0.5,0.13122171945701358,0
0.1875,0.08333333333333333,0.1182804469789979,0.40627279358132745,0.36333209371513575,0.400874477635041,0.22009600409327215,0.4960534305,0.07352941176470587,0.012612613,0.13518197573656845,0.08849400660270756,0.07633840052875082,0.08894117647058823,0.8333333333333333,0.015810276679841896,0.3994126284875183,0.4341372912801485,0.19780219780219785,0.1111111111111111,1.0,0.5520361990950227,0
0.25,0.16666666666666666,0.08313425701398194,0.011184050571359105,0.0076236519152101155,0.0002708559046587216,0.16419860622410395,0.0,0.1176470588235294,1.0,0.0017331022530329286,0.07502271065517471,0.07402511566424322,0.08141176470588235,0.016081871345029242,0.01976284584980237,0.017621145374449337,0.02411873840445269,0.4175824175824176,0.1111111111111111,0.0,0.02714932126696833,1
0.1875,0.16666666666666666,0.1353818282525862,0.2589350838803793,0.20695425808850876,0.01541557034514781,0.2380393995467599,0.4974389285,0.10294117647058824,0.054054054,0.9272097053726168,0.17789643941240332,0.14144084600132187,0.1783529411764706,0.15058479532163746,0.03952569169960474,0.1674008810572687,0.1948051948051948,0.2637362637362637,0.05555555555555555,0.0,0.21266968325791852,0
