ATFD_type,FANOUT_type,number_private_visibility_methods,number_standard_design_methods,CFNAMM_type,AMWNAMM_type,AMW_type,WMCNAMM_type,NOMNAMM_type,NOCS_type,number_not_final_static_methods,WMC_type,number_static_methods,CBO_type,number_protected_visibility_methods,RFC_type,TCC_type,LCOM5_type,isStatic_type,LOCNAMM_type,LOC_type,NOM_type,number_final_static_methods,number_final_not_static_methods,number_not_abstract_not_final_methods,number_final_methods,num_static_attributes,is_god_class
0.0,0.0,0.0,0.005102040816326529,0.0,0.02962962962962963,0.03937007874015748,0.0042689434364994675,0.005076142131979695,0.0,0.0,0.004264392324093817,0.0,0.006377551020408162,0.0,0.04324324324324325,1.0,0.5,0.0,0.002605674580196873,0.0023168259484506225,0.005063291139240506,0.0,0.0,0.005076142131979695,0.0,0.007246376811594203,0
0.006024096385542169,0.012987012987012988,0.038461538461538464,0.017857142857142856,0.00881057268722467,0.014814814814814815,0.01968503937007874,0.007470651013874067,0.017766497461928932,0.0,0.0,0.00746268656716418,0.0,0.006377551020408162,0.0,0.05135135135135136,1.0,1.0,0.0,0.004921829762594094,0.004633651896901245,0.017721518987341773,0.0,0.0,0.017766497461928932,0.0,0.0,0
0.0,0.0,0.0,0.0025510204081632647,0.0,0.014814814814814815,0.01968503937007874,0.0010672358591248669,0.0025380710659898475,0.0,0.0,0.001066098081023454,0.0,0.006377551020408162,0.0,0.044144144144144144,1.0,0.0,0.0,0.0005790387955993051,0.0002896032435563278,0.002531645569620253,0.0,0.0,0.0025380710659898475,0.0,0.0,0
0.0,0.025974025974025976,0.038461538461538464,0.010204081632653059,0.013215859030837006,0.02962962962962963,0.03937007874015748,0.008537886872998933,0.01015228426395939,0.0,0.0,0.008528784648187633,0.0,0.006377551020408162,0.0,0.04774774774774775,1.0,1.0,0.0,0.00506658946149392,0.0047784535186794095,0.010126582278481013,0.0,0.0,0.01015228426395939,0.0,0.0,0
0.012048192771084338,0.025974025974025976,0.0,0.005102040816326529,0.013215859030837006,0.022222222222222227,0.029527559055118113,0.0032017075773746,0.005076142131979695,0.0,0.0025906735751295338,0.0031982942430703624,0.002583979328165375,0.006377551020408162,0.0,0.03693693693693693,0.0,1.0,0.0,0.0023161551823972205,0.002027222704894295,0.005063291139240506,0.0,0.0,0.0076142131979695426,0.0,0.007246376811594203,0
0.0030120481927710845,0.03896103896103896,0.01282051282051282,0.010204081632653059,0.04405286343612335,0.04074074074074074,0.054133858267716536,0.011739594450373531,0.01015228426395939,0.0,0.0,0.011727078891257995,0.0,0.007653061224489796,0.0,0.04774774774774775,1.0,1.0,0.0,0.00622466705269253,0.00593686649290472,0.010126582278481013,0.0,0.0,0.01015228426395939,0.0,0.0,0
0.0,0.0,0.0,0.007653061224489796,0.0,0.025925925925925932,0.0344488188976378,0.007470651013874067,0.01015228426395939,0.0,0.0,0.00746268656716418,0.0,0.0,0.0,0.003603603603603604,1.0,0.333333,0.0,0.003763752171395483,0.0034752389226759338,0.010126582278481013,0.0,0.0,0.01015228426395939,0.0,0.0,0
0.0,0.012987012987012988,0.01282051282051282,0.007653061224489796,0.00881057268722467,0.019753081481481485,0.0262467125984252,0.0042689434364994675,0.0076142131979695426,0.0,0.0,0.004264392324093817,0.0,0.006377551020408162,0.0,0.04684684684684685,1.0,1.0,0.0,0.0034742327735958305,0.003185635679119606,0.007594936708860759,0.0,0.0,0.0076142131979695426,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.00028951939779965256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.015060240963855422,0.03896103896103896,0.0,0.015306122448979591,0.022026431718061675,0.0345678962962963,0.04593175196850394,0.014941302027748134,0.015228426395939085,0.0,0.0,0.01492537313432836,0.0,0.008928571428571428,0.0,0.04684684684684685,0.2,0.6,0.0,0.006369426751592356,0.006081668114682884,0.015189873417721518,0.0,0.0,0.017766497461928932,0.0,0.0,0
