NMCS_method,CYCLO_method,MAXNESTING_method,LOC_method,MaMCL_method,MeMCL_method,NOAV_method,NOLV_method,CDISP_method,AMWNAMM_type,LOCNAMM_type,AMW_type,CFNAMM_type,LOC_type,CFNAMM_method,LAA_method,CINT_method,ATFD_method,LCOM5_type,TCC_type,FANOUT_method,FDP_method,RFC_type,WMC_type,WMCNAMM_type,is_switch_statements
0.0,0.0,0.1,0.007662835249042145,0.0,0.0,0.018867924528301886,0.023809523809523808,0.5,0.05161290322580645,0.009486742884942835,0.006420545752808995,0.0004256307073208482,0.009297136481963557,0.06666666666666668,0.5,0.0625,0.011904761904761904,0.4583333335,0.1,0.0625,0.07692307692307693,0.017543859649122806,0.00905562742561449,0.007751937984496123,0
0.0,0.014492753623188403,0.2,0.00957854406130268,0.0,0.0,0.018867924528301886,0.0,0.0,0.09970674486021508,0.07540744344441741,0.046441947550561816,0.009394830521591084,0.0695425808850874,0.016666666666666666,1.0,0.0,0.011904761904761904,0.4719827585,0.05714285700000001,0.0,0.07692307692307693,0.3026315789473684,0.0776196636481242,0.06589147286821706,0
0.0,0.0,0.1,0.0038314176245210726,0.0,0.0,0.018867924528301886,0.047619047619047616,1.0,0.04301075268817205,0.0007297494526879105,0.0,3.0954960532425315e-05,0.0,0.03333333333333333,0.5,0.03125,0.011904761904761904,0.0,1.0,0.0625,0.07692307692307693,0.0014619883040935672,0.0,0.0012919896640826874,0
0.0,0.0,0.2,0.0038314176245210726,0.0,0.0,0.009433962264150943,0.0,1.0,0.04301075268817205,0.0012162490878131842,0.0,3.0954960532425315e-05,0.00037188545927854236,0.03333333333333333,0.5,0.03125,0.011904761904761904,0.0,1.0,0.0625,0.07692307692307693,0.0014619883040935672,0.0,0.0012919896640826874,0
0.0,0.0,0.1,0.0038314176245210726,0.0,0.0,0.0660377358490566,0.0,0.0,0.08602150537634409,0.04354171734371199,0.04213483146067415,0.004952793685188053,0.03607288955001859,0.0,0.5,0.0,0.011904761904761904,0.427777778,0.305555556,0.0,0.07692307692307693,0.05847953216374269,0.038809831824062085,0.03617571059431525,0
0.0,0.0,0.1,0.0038314176245210726,0.0,0.0,0.02830188679245283,0.023809523809523808,0.0,0.08602150537634409,0.01070299197275602,0.0449438202247191,0.0005958829902491875,0.01171439196727408,0.0,1.0,0.0,0.011904761904761904,0.375,0.5,0.0,0.07692307692307693,0.024853801169590642,0.01164294954721863,0.0103359173126615,0
0.0,0.007246376811594203,0.1,0.007662835249042145,0.0,0.0,0.018867924528301886,0.0,0.0,0.10633213858064518,0.20287034784723912,0.04877623901123597,0.08792756539235412,0.23056898475269616,0.0,1.0,0.0,0.011904761904761904,0.4929865055,0.028635682000000006,0.0,0.07692307692307693,0.3011695906432749,0.34670116429495473,0.22997416020671835,0
0.0,0.0,0.1,0.0038314176245210726,0.0,0.0,0.02830188679245283,0.047619047619047616,0.0,0.04301075268817205,0.002189248358063732,0.0,2.321622039931899e-05,0.0011156563778356263,0.016666666666666666,0.5,0.0,0.011904761904761904,0.0,1.0,0.0,0.07692307692307693,0.007309941520467836,0.0,0.0012919896640826874,0
0.0,0.0,0.0,0.0,0.0,0.0,0.009433962264150943,0.0,0.0,0.04301075268817205,0.04913646314765264,0.0,0.0,0.04127928597991818,0.0,0.5,0.0,0.011904761904761904,0.5074626865,0.0,0.0,0.07692307692307693,0.097953216374269,0.08667529107373867,0.08268733850129201,0
0.0,0.007246376811594203,0.2,0.013409961685823752,0.0,0.0,0.018867924528301886,0.047619047619047616,0.0,0.11267605634408605,0.3227925079056191,0.07279632853932584,0.009224578238662745,0.2461881740423949,0.0,0.5,0.0,0.011904761904761904,0.5,0.000426257,0.0,0.07692307692307693,0.1388888888888889,0.2393272962483829,0.24031007751937986,0
