FDP_method,ATFD_method,MeMCL_method,MaMCL_method,NMCS_method,LAA_method,CDISP_method,CINT_method,ATFD_type,FANOUT_method,CYCLO_method,LOC_method,MAXNESTING_method,NOAV_method,LOCNAMM_type,LOC_type,AMWNAMM_type,AMW_type,CFNAMM_method,LOC_package,LCOM5_type,TCC_type,NOM_package,WMC_type,RFC_type,NOLV_method,CFNAMM_type,WMCNAMM_type,NOMNAMM_package,CBO_type,is_feature_envy
0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.012987012987012988,0.007352941176470587,0.03333333333333333,0.0,0.0017652250661959407,0.0,0.00558659217877095,0.007076834199884459,0.007016036655211913,0.003496503496503497,0.003496503496503497,0.014285714285714284,0.007774549817104009,1.0,1.0,0.014256619144602854,0.0029850746268656717,0.1095617529880478,0.0,0.00881057268722467,0.0029962546816479398,0.019278435692646652,0.05813953488372092,0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.012987012987012988,0.007352941176470587,0.03333333333333333,0.0,0.0035304501323918805,0.0,0.0111731843575419,0.007076834199884459,0.007016036655211913,0.003496503496503497,0.003496503496503497,0.014285714285714284,0.007774549817104009,1.0,1.0,0.014256619144602854,0.0029850746268656717,0.1095617529880478,0.013513513513513514,0.00881057268722467,0.0029962546816479398,0.019278435692646652,0.05813953488372092,0
0.07142857142857142,0.024096385542168683,0.0,0.0,0.0,0.0,0.0,0.0,0.007352941176470587,0.0,0.004048582995951417,0.008826125330979701,0.1,0.02793296089385475,0.007076834199884459,0.007016036655211913,0.003496503496503497,0.003496503496503497,0.0,0.007774549817104009,1.0,1.0,0.014256619144602854,0.0029850746268656717,0.1095617529880478,0.020270270270270268,0.00881057268722467,0.0029962546816479398,0.019278435692646652,0.05813953488372092,0
0.07142857142857142,0.024096385542168683,0.0,0.0,0.0,0.0,0.0,0.0,0.007352941176470587,0.0,0.004048582995951417,0.008826125330979701,0.1,0.02793296089385475,0.007076834199884459,0.007016036655211913,0.003496503496503497,0.003496503496503497,0.0,0.007774549817104009,1.0,1.0,0.014256619144602854,0.0029850746268656717,0.1095617529880478,0.020270270270270268,0.00881057268722467,0.0029962546816479398,0.019278435692646652,0.05813953488372092,0
0.14285714285714285,0.060240963855421686,0.0,0.0,0.0,0.285714,0.333333,0.03896103896103896,0.012254901960784314,0.03333333333333333,0.016194331983805668,0.02471315092674316,0.20000000000000004,0.0670391061452514,0.004332755632582322,0.00429553264604811,0.027972027972027972,0.027972027972027972,0.042857142857142864,0.007774549817104009,0.0,1.0,0.014256619144602854,0.0014925373134328358,0.10159362549800796,0.054054054054054064,0.013215859030837006,0.0014981273408239699,0.019278435692646652,0.06976744186046513,1
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.012987012987012988,0.0,0.03333333333333333,0.0,0.0017652250661959407,0.0,0.0111731843575419,0.0018775274407856726,0.0018613974799541809,0.0,0.0,0.014285714285714284,0.030568918267251617,0.0,1.0,0.02179226069246436,0.001119402985074627,0.01593625498007968,0.013513513513513514,0.01762114537444934,0.0011235955056179776,0.02698980996970532,0.011627906976744186,0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.012987012987012988,0.0,0.03333333333333333,0.0,0.0017652250661959407,0.0,0.0223463687150838,0.0018775274407856726,0.0018613974799541809,0.0,0.0,0.014285714285714284,0.030568918267251617,0.0,1.0,0.02179226069246436,0.001119402985074627,0.01593625498007968,0.027027027027027032,0.01762114537444934,0.0011235955056179776,0.02698980996970532,0.011627906976744186,0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.012987012987012988,0.0,0.03333333333333333,0.0,0.0017652250661959407,0.0,0.01675977653631285,0.0018775274407856726,0.0018613974799541809,0.0,0.0,0.014285714285714284,0.030568918267251617,0.0,1.0,0.02179226069246436,0.001119402985074627,0.01593625498007968,0.020270270270270268,0.01762114537444934,0.0011235955056179776,0.02698980996970532,0.011627906976744186,0
0.21428571428571427,0.12048192771084335,0.0,0.0,0.0,0.294118,0.833333,0.07792207792207792,0.2598039215686275,0.16666666666666666,0.020242914979757085,0.028243601059135037,0.20000000000000004,0.12849162011173185,0.1972848064702484,0.19558991981672394,0.07210031468531468,0.07210031468531468,0.08571428571428573,0.030568918267251617,0.723214,1.0,0.02179226069246436,0.12201492537313433,0.17131474103585656,0.040540540540540536,0.2246696035242291,0.12247191011235956,0.02698980996970532,0.313953488372093,1
0.14285714285714285,0.10843373493975904,0.0,0.0,0.0,0.166667,0.333333,0.03896103896103896,0.2598039215686275,0.03333333333333333,0.03643724696356275,0.04148278905560459,0.30000000000000004,0.09497206703910614,0.1972848064702484,0.19558991981672394,0.07210031468531468,0.07210031468531468,0.042857142857142864,0.030568918267251617,0.723214,1.0,0.02179226069246436,0.12201492537313433,0.17131474103585656,0.040540540540540536,0.2246696035242291,0.12247191011235956,0.02698980996970532,0.313953488372093,1
