NOAM_type,WOC_type,TCC_type,LCOM5_type,isStatic_type,number_private_visibility_methods,LOC_package,AMW_type,NOCS_type,FANOUT_type,NOMNAMM_package,CFNAMM_type,NOM_package,number_static_methods,AMWNAMM_type,number_standard_design_methods,WMC_type,LOC_type,number_not_final_static_methods,NOMNAMM_type,number_not_final_not_static_methods,DIT_type,RFC_type,num_not_final_not_static_attributes,number_private_visibility_attributes,ATFD_type,number_not_abstract_not_final_methods,WMCNAMM_type,number_protected_visibility_methods,NOA_type,LOCNAMM_type,number_abstract_methods,NOM_type,CBO_type,number_final_static_methods,NIM_type,is_data_class
0.0,0.75,1.0,1.0,0.0,0.05128205128205128,0.007774549817104009,0.01004016064257028,0.0,0.012987012987012988,0.01981833195706028,0.00881057268722467,0.014256619144602854,0.0,0.022222222222222227,0.015306122448979591,0.008537886872998933,0.007385952208544533,0.0,0.015228426395939085,0.031914893617021274,0.33333333333333337,0.04959422903516682,0.015384615384615384,0.0,0.009036144578313254,0.015228426395939085,0.0096051227321238,0.0,0.012903225806451613,0.007817023740590621,0.0,0.012690355329949237,0.006377551020408162,0.0,0.044715447154471545,0
0.0,0.6666665,1.0,0.5,0.0,0.0,0.007774549817104009,0.02008032128514056,0.0,0.0,0.01981833195706028,0.0,0.014256619144602854,0.0,0.02962962962962963,0.005102040816326529,0.0032017075773746,0.002172338884866039,0.0,0.005076142131979695,0.010638297872340424,0.33333333333333337,0.042380522993688,0.02307692307692308,0.0,0.0,0.005076142131979695,0.0042689434364994675,0.0,0.025806451612903226,0.002605674580196873,0.0,0.0025380710659898475,0.006377551020408162,0.0,0.042005420054200535,0
0.0,0.7857145000000001,1.0,1.0,0.0,0.038461538461538464,0.007774549817104009,0.0,0.0,0.012987012987012988,0.01981833195706028,0.00881057268722467,0.014256619144602854,0.0,0.014814814814814815,0.017857142857142856,0.0064034151547492,0.00448950036205648,0.0,0.017766497461928932,0.03723404255319149,0.33333333333333337,0.05049594229035167,0.02307692307692308,0.0,0.006024096385542169,0.017766497461928932,0.007470651013874067,0.0,0.01935483870967742,0.004921829762594094,0.0,0.015228426395939085,0.006377551020408162,0.0,0.044715447154471545,0
0.0,0.6666665,1.0,0.0,0.0,0.0,0.007774549817104009,0.0,0.0,0.0,0.01981833195706028,0.0,0.014256619144602854,0.0,0.014814814814814815,0.0025510204081632647,0.0,0.0001448225923244026,0.0,0.0025380710659898475,0.0053191489361702135,0.33333333333333337,0.043282236248872855,0.015384615384615384,0.0,0.0,0.0025380710659898475,0.0010672358591248669,0.0,0.012903225806451613,0.0005790387955993051,0.0,0.0,0.006377551020408162,0.0,0.044715447154471545,0
0.0,0.75,1.0,1.0,0.0,0.038461538461538464,0.007774549817104009,0.02008032128514056,0.0,0.025974025974025976,0.01981833195706028,0.013215859030837006,0.014256619144602854,0.0,0.02962962962962963,0.010204081632653059,0.007470651013874067,0.004634322954380883,0.0,0.01015228426395939,0.02127659574468085,0.33333333333333337,0.046889089269612265,0.007692307692307694,0.0,0.0,0.01015228426395939,0.008537886872998933,0.0,0.0064516129032258064,0.00506658946149392,0.0,0.0076142131979695426,0.006377551020408162,0.0,0.044715447154471545,0
0.0,0.75,0.0,1.0,0.0,0.0,0.007774549817104009,0.01004016064257028,0.0,0.025974025974025976,0.01981833195706028,0.013215859030837006,0.014256619144602854,0.002583979328165375,0.022222222222222227,0.005102040816326529,0.0021344717182497338,0.0018826937002172335,0.0025906735751295338,0.005076142131979695,0.010638297872340424,0.16666666666666666,0.03606853020739405,0.0,0.0,0.012048192771084338,0.0076142131979695426,0.0032017075773746,0.0,0.0064516129032258064,0.0023161551823972205,0.0,0.0025380710659898475,0.006377551020408162,0.0,0.03523035230352303,0
0.0,0.75,1.0,1.0,0.0,0.01282051282051282,0.007774549817104009,0.035140562248995984,0.0,0.03896103896103896,0.01981833195706028,0.04405286343612335,0.014256619144602854,0.0,0.04074074074074074,0.010204081632653059,0.010672358591248666,0.005792903692976104,0.0,0.01015228426395939,0.02127659574468085,0.33333333333333337,0.046889089269612265,0.02307692307692308,0.0,0.0030120481927710845,0.01015228426395939,0.011739594450373531,0.0,0.01935483870967742,0.00622466705269253,0.0,0.0076142131979695426,0.007653061224489796,0.0,0.043360433604336036,0
0.0,1.0,1.0,0.333333,0.0,0.0,0.007774549817104009,0.015060240963855422,0.0,0.0,0.01981833195706028,0.0,0.014256619144602854,0.0,0.025925925925925932,0.007653061224489796,0.0064034151547492,0.00333091962346126,0.0,0.01015228426395939,0.02127659574468085,0.0,0.002705139765554553,0.007692307692307694,0.0,0.0,0.01015228426395939,0.007470651013874067,0.0,0.0064516129032258064,0.003763752171395483,0.0,0.0076142131979695426,0.0,0.0,0.0013550135501355016,0
0.0,0.8333335,1.0,1.0,0.0,0.01282051282051282,0.007774549817104009,0.006693433734939761,0.0,0.012987012987012988,0.01981833195706028,0.00881057268722467,0.014256619144602854,0.0,0.019753081481481485,0.007653061224489796,0.0032017075773746,0.0030412744388124547,0.0,0.0076142131979695426,0.015957446808510637,0.33333333333333337,0.045987376014427414,0.007692307692307694,0.0,0.0,0.0076142131979695426,0.0042689434364994675,0.0,0.0064516129032258064,0.0034742327735958305,0.0,0.005076142131979695,0.006377551020408162,0.0,0.044715447154471545,0
0.0,1.0,0.2,0.6,0.0,0.0,0.007774549817104009,0.026773755020080326,0.0,0.03896103896103896,0.01981833195706028,0.022026431718061675,0.014256619144602854,0.0,0.0345678962962963,0.015306122448979591,0.013874066168623269,0.005937726285300506,0.0,0.015228426395939085,0.03723404255319149,0.33333333333333337,0.045987376014427414,0.007692307692307694,0.0,0.015060240963855422,0.017766497461928932,0.014941302027748134,0.0,0.0064516129032258064,0.006369426751592356,0.0,0.012690355329949237,0.008928571428571428,0.0,0.042005420054200535,0
